time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-23T15:03:03.000Z,65.0258,-151.001,0,1.5,ml,,,,0.76,ak,ak14020756,2016-09-23T15:15:07.686Z,"17km W of Manley Hot Springs, Alaska",earthquake,0.6,0.5,,,automatic,ak,ak
2016-09-23T14:58:50.990Z,38.8238335,-122.8018341,-0.86,1,md,13,74,0.006451,0.03,nc,nc72701276,2016-09-23T15:00:25.040Z,"6km W of Cobb, California",earthquake,0.21,0.69,0.04,3,automatic,nc,nc
2016-09-23T14:57:55.960Z,19.3290005,-155.1024933,1.91,2.26,ml,49,158,0.04972,0.33,hv,hv61421516,2016-09-23T15:03:36.550Z,"18km SE of Volcano, Hawaii",earthquake,0.57,0.54,0.27,10,automatic,hv,hv
2016-09-23T14:52:19.370Z,38.7978325,-122.7714996,3.03,1.65,md,21,100,0.01699,0.02,nc,nc72701271,2016-09-23T15:08:02.848Z,"2km NNW of The Geysers, California",earthquake,0.27,0.57,0.23,6,automatic,nc,nc
2016-09-23T14:48:13.860Z,38.8346672,-122.8118362,1.83,1.04,md,16,40,0.01134,0.02,nc,nc72701266,2016-09-23T14:49:49.990Z,"7km W of Cobb, California",earthquake,0.22,0.5,0.03,3,automatic,nc,nc
2016-09-23T14:39:52.000Z,65.5953,-144.2471,7.4,1.2,ml,,,,1.13,ak,ak14020750,2016-09-23T14:52:51.901Z,"24km NE of Circle Hot Springs Station, Alaska",earthquake,1.6,0.4,,,automatic,ak,ak
2016-09-23T13:59:33.050Z,37.6295,-122.4713333,7.7,2.01,md,83,70,0.008163,0.08,nc,nc72701251,2016-09-23T18:51:03.025Z,"2km NE of Pacifica, California",earthquake,0.16,0.16,0.175,50,reviewed,nc,nc
2016-09-23T13:58:08.850Z,34.4644,141.8446,34.99,4.5,mb,,170,2.161,1.4,us,us10006s02,2016-09-23T14:56:11.079Z,"159km ESE of Katsuura, Japan",earthquake,5.3,7.2,0.128,18,reviewed,us,us
2016-09-23T13:49:07.730Z,-19.77,-173.504,53.75,4.8,mb,,107,3.445,0.92,us,us10006rzv,2016-09-23T14:08:08.040Z,"88km E of Pangai, Tonga",earthquake,11.6,13.1,0.111,25,reviewed,us,us
2016-09-23T13:41:03.400Z,39.818,-120.6603333,2.37,1.96,md,19,62,0.07465,0.08,nc,nc72701246,2016-09-23T18:40:02.441Z,"16km W of Portola, California",earthquake,0.25,1.15,0.227,20,reviewed,nc,nc
2016-09-23T13:33:42.000Z,65.0462,-150.7577,18,2,ml,,,,0.8,ak,ak14020317,2016-09-23T13:58:19.099Z,"7km NW of Manley Hot Springs, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-09-23T13:26:22.730Z,33.4351667,-117.0333333,6.75,1.01,ml,32,71,0.04601,0.14,ci,ci37697992,2016-09-23T16:40:32.820Z,"9km NNE of Pala, CA",earthquake,0.19,0.53,0.139,21,reviewed,ci,ci
2016-09-23T13:26:09.000Z,64.9875,-150.798,19.1,3.6,ml,,,,0.78,ak,ak14019890,2016-09-23T18:48:58.848Z,"7km W of Manley Hot Springs, Alaska",earthquake,0.2,0.1,,,reviewed,ak,ak
2016-09-23T13:09:15.000Z,59.9888,-152.7304,96.6,3.2,ml,,,,0.59,ak,ak14019876,2016-09-23T13:28:22.171Z,"55km WNW of Anchor Point, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
